Reporte detallado item 1: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 1
Reporte detallado item 42: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 42
Reporte detallado item 43: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 43
Reporte detallado item 44: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 44
Reporte detallado item 45: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 45
Reporte detallado item 46: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 46
Reporte detallado item 47: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 47
Reporte detallado item 48: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 48
Reporte detallado item 49: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 49
Reporte detallado item 50: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 50
Reporte detallado item 51: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 51
Reporte detallado item 52: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 52
Reporte detallado item 53: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 53
Reporte detallado item 54: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 54
Reporte detallado item 55: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 55
Reporte detallado item 56: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 56
Reporte detallado item 57: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 57
Reporte detallado item 58: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 58
Reporte detallado item 59: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 59
Reporte detallado item 60: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 60
Reporte detallado item 61: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 61
Reporte detallado item 62: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 62
Reporte detallado item 63: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 63
Reporte detallado item 64: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 64
Reporte detallado item 65: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 65
Reporte detallado item 66: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 66
Reporte detallado item 67: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 67
Reporte detallado item 68: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 68
Reporte detallado item 69: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 69
Reporte detallado item 70: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 70
Reporte detallado item 71: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 71
Reporte detallado item 72: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 72
Reporte detallado item 73: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 73
Reporte detallado item 74: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 74
Reporte detallado item 75: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 75
Reporte detallado item 76: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 76
Reporte detallado item 77: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 77
Reporte detallado item 78: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 78
Reporte detallado item 79: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 79
Reporte detallado item 80: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 80
Reporte detallado item 81: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 81
Reporte detallado item 82: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 82
Reporte detallado item 83: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 83
Reporte detallado item 84: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 84
Reporte detallado item 85: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 85
Reporte detallado item 86: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 86
Reporte detallado item 87: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 87
Reporte detallado item 88: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 88
Reporte detallado item 89: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 89
Reporte detallado item 90: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 90
Reporte detallado item 91: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 91
Reporte detallado item 92: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 92
Reporte detallado item 93: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 93
Reporte detallado item 94: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 94
Reporte detallado item 95: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 95
Reporte detallado item 96: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 96
Reporte detallado item 97: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 97
Reporte detallado item 98: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 98
Reporte detallado item 99: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 99
Reporte detallado item 100: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 100
Reporte detallado item 101: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 101
Reporte detallado item 102: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 102
Reporte detallado item 103: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 103
Reporte detallado item 104: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 104
Reporte detallado item 105: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 105
Reporte detallado item 106: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 106
Reporte detallado item 107: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 107
Reporte detallado item 108: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 108
Reporte detallado item 109: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 109
Reporte detallado item 110: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 110
Reporte detallado item 111: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 111
Reporte detallado item 112: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 112
Reporte detallado item 113: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 113
Reporte detallado item 114: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 114
Reporte detallado item 115: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 115
Reporte detallado item 116: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 116
Reporte detallado item 117: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 117
Reporte detallado item 118: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 118
Reporte detallado item 119: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 119
Reporte detallado item 120: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 120
Reporte detallado item 121: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 121
Reporte detallado item 122: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 122
Reporte detallado item 123: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 123
Reporte detallado item 124: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 124
Reporte detallado item 125: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 125
Reporte detallado item 126: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 126
Reporte detallado item 127: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 127
Reporte detallado item 128: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 128
Reporte detallado item 129: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 129
Reporte detallado item 130: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 130
Reporte detallado item 131: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 131
Reporte detallado item 132: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 132
Reporte detallado item 133: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 133
Reporte detallado item 134: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 134
Reporte detallado item 135: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 135
Reporte detallado item 136: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 136
Reporte detallado item 137: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 137
Reporte detallado item 138: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 138
Reporte detallado item 139: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 139
Reporte detallado item 140: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 140
Reporte detallado item 141: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 141
Reporte detallado item 142: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 142
Reporte detallado item 143: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 143
Reporte detallado item 144: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 144
Reporte detallado item 145: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 145
Reporte detallado item 146: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 146
Reporte detallado item 147: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 147
Reporte detallado item 148: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 148
Reporte detallado item 149: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 149
Reporte detallado item 150: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 150
Reporte detallado item 151: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 151
Reporte detallado item 152: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 152
Reporte detallado item 153: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 153
Reporte detallado item 154: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 154
Reporte detallado item 155: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 155
Reporte detallado item 156: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 156
Reporte detallado item 157: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 157
Reporte detallado item 158: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 158
Reporte detallado item 159: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 159
Reporte detallado item 160: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 160
Reporte detallado item 161: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 161
Reporte detallado item 162: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 162
Reporte detallado item 163: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 163
Reporte detallado item 164: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 164
Reporte detallado item 165: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 165
Reporte detallado item 166: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 166
Reporte detallado item 167: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 167
Reporte detallado item 168: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 168
Reporte detallado item 169: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 169
Reporte detallado item 170: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 170
Reporte detallado item 171: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 171
Reporte detallado item 172: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 172
Reporte detallado item 173: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 173
Reporte detallado item 174: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 174
Reporte detallado item 175: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 175
Reporte detallado item 176: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 176
Reporte detallado item 177: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 177
Reporte detallado item 178: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 178
Reporte detallado item 179: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 179
Reporte detallado item 180: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 180
Reporte detallado item 181: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 181
Reporte detallado item 182: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 182
Reporte detallado item 183: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 183
Reporte detallado item 184: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 184
Reporte detallado item 185: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 185
Reporte detallado item 186: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 186
Reporte detallado item 187: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 187
Reporte detallado item 188: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 188
Reporte detallado item 189: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 189
Reporte detallado item 190: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 190
Reporte detallado item 191: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 191
Reporte detallado item 192: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 192
Reporte detallado item 193: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 193
Reporte detallado item 194: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 194
Reporte detallado item 195: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 195
Reporte detallado item 196: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 196
Reporte detallado item 197: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 197
Reporte detallado item 198: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 198
Reporte detallado item 199: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 199
Reporte detallado item 200: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 200
Reporte detallado item 201: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 201
Reporte detallado item 202: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 202
Reporte detallado item 203: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 203
Reporte detallado item 204: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 204
Reporte detallado item 205: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 205
Reporte detallado item 206: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 206
Reporte detallado item 207: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 207
Reporte detallado item 208: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 208
Reporte detallado item 209: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 209
Reporte detallado item 210: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 210
Reporte detallado item 211: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 211
Reporte detallado item 212: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 212
Reporte detallado item 213: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 213
Reporte detallado item 214: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 214
Reporte detallado item 215: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 215
Reporte detallado item 216: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 216
Reporte detallado item 217: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 217
Reporte detallado item 218: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 218
Reporte detallado item 219: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 219
Reporte detallado item 220: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 220
Reporte detallado item 221: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 221
Reporte detallado item 222: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 222
Reporte detallado item 223: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 223
Reporte detallado item 224: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 224
Reporte detallado item 225: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 225
Reporte detallado item 226: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 226
Reporte detallado item 227: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 227
Reporte detallado item 228: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 228
Reporte detallado item 229: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 229
Reporte detallado item 230: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 230
Reporte detallado item 231: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 231
Reporte detallado item 232: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 232
Reporte detallado item 233: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 233
Reporte detallado item 234: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 234
Reporte detallado item 235: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 235
Reporte detallado item 236: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 236
Reporte detallado item 237: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 237
Reporte detallado item 238: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 238
Reporte detallado item 239: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 239
Reporte detallado item 240: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 240
Reporte detallado item 241: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 241
Reporte detallado item 242: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 242
Reporte detallado item 243: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 243
Reporte detallado item 244: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 244
Reporte detallado item 245: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 245
Reporte detallado item 246: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 246
Reporte detallado item 247: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 247
Reporte detallado item 248: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 248
Reporte detallado item 249: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 249
Reporte detallado item 250: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 250
Reporte detallado item 251: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 251
Reporte detallado item 252: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 252
Reporte detallado item 253: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 253
Reporte detallado item 254: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 254
Reporte detallado item 255: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 255
Reporte detallado item 256: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 256
Reporte detallado item 257: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 257
Reporte detallado item 258: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 258
Reporte detallado item 259: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 259
Reporte detallado item 260: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 260
Reporte detallado item 261: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 261
Reporte detallado item 262: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 262
Reporte detallado item 263: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 263
Reporte detallado item 264: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 264
Reporte detallado item 265: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 265
Reporte detallado item 266: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 266
Reporte detallado item 267: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 267
Reporte detallado item 268: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 268
Reporte detallado item 269: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 269
Reporte detallado item 270: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 270
Reporte detallado item 271: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 271
Reporte detallado item 272: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 272
Reporte detallado item 273: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 273
Reporte detallado item 274: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 274
Reporte detallado item 275: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 275
Reporte detallado item 276: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 276
Reporte detallado item 277: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 277
Reporte detallado item 278: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 278
Reporte detallado item 279: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 279
Reporte detallado item 280: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 280
Reporte detallado item 281: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 281
Reporte detallado item 282: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 282
Reporte detallado item 283: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 283
Reporte detallado item 284: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 284
Reporte detallado item 285: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 285
Reporte detallado item 286: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 286
Reporte detallado item 287: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 287
Reporte detallado item 288: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 288
Reporte detallado item 289: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 289
Reporte detallado item 290: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 290
Reporte detallado item 291: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 291
Reporte detallado item 292: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 292
Reporte detallado item 293: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 293
Reporte detallado item 294: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 294
Reporte detallado item 295: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 295
Reporte detallado item 296: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 296
Reporte detallado item 297: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 297
Reporte detallado item 298: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 298
Reporte detallado item 299: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 299
Reporte detallado item 300: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 300
Reporte detallado item 301: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 301
Reporte detallado item 302: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 302
Reporte detallado item 303: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 303
Reporte detallado item 304: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 304
Reporte detallado item 305: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 305
Reporte detallado item 306: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 306
Reporte detallado item 307: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 307
Reporte detallado item 308: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 308
Reporte detallado item 309: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 309
Reporte detallado item 310: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 310
Reporte detallado item 311: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 311
Reporte detallado item 312: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 312
Reporte detallado item 313: estado=activo, prioridad=3, descripcion=Tarea de ejemplo numero 313
Reporte detallado item 314: estado=activo, prioridad=4, descripcion=Tarea de ejemplo numero 314
Reporte detallado item 315: estado=activo, prioridad=5, descripcion=Tarea de ejemplo numero 315
Reporte detallado item 316: estado=activo, prioridad=1, descripcion=Tarea de ejemplo numero 316
Reporte detallado item 317: estado=activo, prioridad=2, descripcion=Tarea de ejemplo numero 317
